SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,WORMS_NAME,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
DIL,Dermasterias imbricata,Leather Star,DIL,adult (>2.5cm),2.5,38,INVERT,SWATH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Dermasterias imbricata,240771,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,.,.
DIS,Dermasterias imbricata,Leather Star,DIL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Dermasterias imbricata,240771,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,.,.
DL,Desmarestia ligulata,Acid Weed,DL,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Desmarestia ligulata,145309,Species,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,.,.
DL,Desmarestia ligulata,Acid Weed,DL,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Desmarestia ligulata,145309,Species,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,.,.
DC,Diaperoforma californica,Southern Staghorn Bryozoan,DC,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Diaperoforma californica,472584,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,.,Diaperoforma,Diaperoecia,californica
DU,Dictyopteris undulata,.,DU,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Dictyopteris undulata,372001,Species,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,.,.
DP,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,.,DP,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Dictyota,144086,Genus,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota,.
DP,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,.,DP,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Dictyota,144086,Genus,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota,.
DISP,Didemnum spp.,.,DISP,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Didemnum,103456,Genus,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,.,.
DIOR,Diopatra ornata,Ornate Tube Worm,DIOR,.,.,.,INVERT,QUAD,PLANKTIVORE,SOFT,SESSILE,SOLITARY,Diopatra ornata,326964,Species,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,.,.
DIOR,Diopatra ornata,Ornate Tube Worm,DIOR,.,.,.,INVERT,UPC,PLANKTIVORE,SOFT,SESSILE,SOLITARY,Diopatra ornata,326964,Species,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,.,.
ARUD,Discophyton rudyi,Octocoral,ARUD,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Discophyton rudyi,289828,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Discophyton,.,.
DOFE,Dodecaceria fewkesi,Colonial Tube Worm,DOFE,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Dodecaceria fewkesi,327435,Species,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,.,.
FB,Ectocarpaceae spp.,Filamentous brown & Diatom Mats,FB,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Ectocarpaceae,143717,Family,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,.,.,.
FB,Ectocarpaceae spp.,Filamentous brown & Diatom Mats,FB,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Ectocarpaceae,143717,Family,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,.,.,.
EGJ,Egregia menziesii,Feather Boa Kelp,EGME,juvenile (<1m height),.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGJ,Egregia menziesii,Feather Boa Kelp,EGME,juvenile (<1m height),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGME,Egregia menziesii,Feather Boa Kelp,EGME,(>1m height),.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGME,Egregia menziesii,Feather Boa Kelp,EGME,(>1m height),1,30,ALGAE,SWATH,PRODUCER,HARD,SESSILE,SOLITARY,Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EH,Egregia menziesii,.,EH,holdfast,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EA,Eisenia arborea,Southern Palm Kelp,EA,adult (> 5cm stipe),3,80,ALGAE,SWATH,PRODUCER,HARD,SESSILE,SOLITARY,Eisenia arborea,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EAH,Eisenia arborea,.,EAH,holdfast,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Eisenia arborea,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EAJ,Eisenia arborea,.,EA,juvenile (< 5cm stipe),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Eisenia arborea,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EMBI,Unidentified Surfperch spp.,Unidentified Surfperch Spp.,EMBI,.,4,25,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Embiotoca,240718,Genus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
EJAC,Embiotoca jacksoni,Black Surfperch,EJAC,.,4,40,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Embiotoca jacksoni,240746,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
ELAT,Embiotoca lateralis,Striped Surfperch,ELAT,.,6,30,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Embiotoca lateralis,240740,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
AR,Eudistoma psammion,Sand Tunicate,AR,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Eudistoma psammion,250242,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Archidistoma,spp.
EUPO,Eudistylia polymorpha,Feather Duster Worm,EUPO,.,0.25,3,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Eudistylia polymorpha,333269,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,.,.
EUPO,Eudistylia polymorpha,Feather Duster Worm,EUPO,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Eudistylia polymorpha,333269,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,.,.
EUCL,Euherdmania claviformis,Tunic-Band Compound Tunicate,EUCL,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Euherdmania claviformis,250653,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Euherdmaniidae,Euherdmania,.,.
EUQU,Eupentacta quinquesemita,White Sea Cucumber,EUQU,.,1,8,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Eupentacta quinquesemita,529305,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,.,.
EUQU,Eupentacta quinquesemita,White Sea Cucumber,EUQU,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Eupentacta quinquesemita,529305,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,.,.
DIAT,Fragilariaceae,diatom mat,DIAT,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Fragilariaceae,148952,Family,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,.,.,.
GAGA,Galeorhinus galeus,Soupfin Shark,GAGA,.,150,300,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Galeorhinus galeus,105820,Species,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,.,.
GEL,Gelidium,.,GEL,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Gelidium,144135,Genus,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
GR,Gelidium spp. ,Agarweed,GR,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Gelidium,144135,Genus,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
GR,Gelidium spp. ,Agarweed,GR,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Gelidium,144135,Genus,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
CLIN,Gibbonsia,Crevice Kelpfish,CLIN,.,2,21,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Gibbonsia,269206,Genus,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,.,.
GNIG,Girella nigricans,Opaleye,GNIG,.,14,66,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Girella nigricans,280865,Species,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,.,.
FASP,Gloiocladia fryeana,.,FASP,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Gloiocladia fryeana,503888,Species,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,Gloiocladia,.
GS,Gracilaria spp.,.,GS,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Gracilaria,144188,Genus,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,.,.
GS,Gracilaria spp.,.,GS,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Gracilaria,144188,Genus,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,.,.
GYSP,Gymnogongrus spp.,.,GYSP,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Gymnogongrus,144168,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,.,.
