site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2000-11-15,0.25,0.28,34.400275,-119.7445915,2000-11-15,11,2000
ABUR,2000-11-16,0.21,0.24,34.400275,-119.7445915,2000-11-16,11,2000
ABUR,2000-11-17,0.21,0.23,34.400275,-119.7445915,2000-11-17,11,2000
ABUR,2000-11-18,0.19,0.24,34.400275,-119.7445915,2000-11-18,11,2000
ABUR,2000-11-19,0.2,0.26,34.400275,-119.7445915,2000-11-19,11,2000
ABUR,2000-11-20,0.34,0.39,34.400275,-119.7445915,2000-11-20,11,2000
ABUR,2000-11-21,0.33,0.36,34.400275,-119.7445915,2000-11-21,11,2000
ABUR,2000-11-22,0.35,0.39,34.400275,-119.7445915,2000-11-22,11,2000
ABUR,2000-11-23,0.26,0.31,34.400275,-119.7445915,2000-11-23,11,2000
ABUR,2000-11-24,0.29,0.33,34.400275,-119.7445915,2000-11-24,11,2000
ABUR,2000-11-25,0.38,0.41,34.400275,-119.7445915,2000-11-25,11,2000
ABUR,2000-11-26,0.32,0.39,34.400275,-119.7445915,2000-11-26,11,2000
ABUR,2000-11-27,0.34,0.39,34.400275,-119.7445915,2000-11-27,11,2000
ABUR,2000-11-28,0.37,0.42,34.400275,-119.7445915,2000-11-28,11,2000
ABUR,2000-11-29,0.29,0.35,34.400275,-119.7445915,2000-11-29,11,2000
ABUR,2000-11-30,0.24,0.46,34.400275,-119.7445915,2000-11-30,11,2000
ABUR,2000-12-01,0.47,0.54,34.400275,-119.7445915,2000-12-01,12,2000
ABUR,2000-12-02,0.35,0.55,34.400275,-119.7445915,2000-12-02,12,2000
ABUR,2000-12-03,0.5,0.59,34.400275,-119.7445915,2000-12-03,12,2000
ABUR,2000-12-04,0.28,0.36,34.400275,-119.7445915,2000-12-04,12,2000
ABUR,2000-12-05,0.39,0.61,34.400275,-119.7445915,2000-12-05,12,2000
ABUR,2000-12-06,0.18,0.3,34.400275,-119.7445915,2000-12-06,12,2000
ABUR,2000-12-07,0.17,0.2,34.400275,-119.7445915,2000-12-07,12,2000
ABUR,2000-12-08,0.24,0.27,34.400275,-119.7445915,2000-12-08,12,2000
ABUR,2000-12-09,0.26,0.28,34.400275,-119.7445915,2000-12-09,12,2000
ABUR,2000-12-10,0.2,0.25,34.400275,-119.7445915,2000-12-10,12,2000
ABUR,2000-12-11,0.15,0.18,34.400275,-119.7445915,2000-12-11,12,2000
ABUR,2000-12-12,0.14,0.16,34.400275,-119.7445915,2000-12-12,12,2000
ABUR,2000-12-13,0.21,0.26,34.400275,-119.7445915,2000-12-13,12,2000
ABUR,2000-12-14,0.18,0.21,34.400275,-119.7445915,2000-12-14,12,2000
ABUR,2000-12-15,0.34,0.43,34.400275,-119.7445915,2000-12-15,12,2000
ABUR,2000-12-16,0.37,0.42,34.400275,-119.7445915,2000-12-16,12,2000
ABUR,2000-12-17,0.4,0.47,34.400275,-119.7445915,2000-12-17,12,2000
ABUR,2000-12-18,0.29,0.34,34.400275,-119.7445915,2000-12-18,12,2000
ABUR,2000-12-19,0.2,0.23,34.400275,-119.7445915,2000-12-19,12,2000
ABUR,2000-12-20,0.24,0.26,34.400275,-119.7445915,2000-12-20,12,2000
ABUR,2000-12-21,0.2,0.23,34.400275,-119.7445915,2000-12-21,12,2000
ABUR,2000-12-22,0.28,0.68,34.400275,-119.7445915,2000-12-22,12,2000
ABUR,2000-12-23,0.78,0.98,34.400275,-119.7445915,2000-12-23,12,2000
ABUR,2000-12-24,0.54,0.68,34.400275,-119.7445915,2000-12-24,12,2000
ABUR,2000-12-25,0.56,0.7,34.400275,-119.7445915,2000-12-25,12,2000
ABUR,2000-12-26,0.39,0.5,34.400275,-119.7445915,2000-12-26,12,2000
ABUR,2000-12-27,0.31,0.4,34.400275,-119.7445915,2000-12-27,12,2000
ABUR,2000-12-28,0.39,0.43,34.400275,-119.7445915,2000-12-28,12,2000
ABUR,2000-12-29,0.29,0.35,34.400275,-119.7445915,2000-12-29,12,2000
ABUR,2000-12-30,0.27,0.32,34.400275,-119.7445915,2000-12-30,12,2000
ABUR,2000-12-31,0.29,0.33,34.400275,-119.7445915,2000-12-31,12,2000
ABUR,2001-01-01,0.3,0.34,34.400275,-119.7445915,2001-01-01,1,2001
ABUR,2001-01-02,0.4,0.44,34.400275,-119.7445915,2001-01-02,1,2001
ABUR,2001-01-03,0.42,0.5,34.400275,-119.7445915,2001-01-03,1,2001
ABUR,2001-01-04,0.31,0.37,34.400275,-119.7445915,2001-01-04,1,2001
ABUR,2001-01-05,0.4,0.48,34.400275,-119.7445915,2001-01-05,1,2001
ABUR,2001-01-06,0.32,0.39,34.400275,-119.7445915,2001-01-06,1,2001
ABUR,2001-01-07,0.47,0.53,34.400275,-119.7445915,2001-01-07,1,2001
ABUR,2001-01-08,0.34,0.41,34.400275,-119.7445915,2001-01-08,1,2001
ABUR,2001-01-09,0.49,0.64,34.400275,-119.7445915,2001-01-09,1,2001
ABUR,2001-01-10,0.43,0.53,34.400275,-119.7445915,2001-01-10,1,2001
ABUR,2001-01-11,0.57,0.73,34.400275,-119.7445915,2001-01-11,1,2001
ABUR,2001-01-12,0.67,0.72,34.400275,-119.7445915,2001-01-12,1,2001
ABUR,2001-01-13,0.41,0.64,34.400275,-119.7445915,2001-01-13,1,2001
ABUR,2001-01-14,0.32,0.36,34.400275,-119.7445915,2001-01-14,1,2001
ABUR,2001-01-15,0.4,0.45,34.400275,-119.7445915,2001-01-15,1,2001
ABUR,2001-01-16,0.32,0.39,34.400275,-119.7445915,2001-01-16,1,2001
ABUR,2001-01-17,0.34,0.41,34.400275,-119.7445915,2001-01-17,1,2001
ABUR,2001-01-18,0.37,0.45,34.400275,-119.7445915,2001-01-18,1,2001
ABUR,2001-01-19,0.6,0.75,34.400275,-119.7445915,2001-01-19,1,2001
ABUR,2001-01-20,0.57,0.64,34.400275,-119.7445915,2001-01-20,1,2001
ABUR,2001-01-21,0.46,0.57,34.400275,-119.7445915,2001-01-21,1,2001
ABUR,2001-01-22,0.59,0.8,34.400275,-119.7445915,2001-01-22,1,2001
ABUR,2001-01-23,0.47,0.61,34.400275,-119.7445915,2001-01-23,1,2001
ABUR,2001-01-24,0.38,0.59,34.400275,-119.7445915,2001-01-24,1,2001
